nodes_x,nodes_y,E,nu,v1,v2,smoothing_pow,convergence_factor,actual_convergence
256,256,.7,.4,1,1,.39464171510821837900,0.46524830168819364,0.5684285968084145
32,32,.7,.6,1,1,.44273158370074163754,0.6048826063857671,0.7503394687401843
256,256,.7,.6,1,1,.44273158370074163754,0.6048826063857671,0.7791586071784311
32,32,.7,.8,1,1,.48144147705363546477,0.8814025685105046,0.9999984809268566
256,256,.7,.8,1,1,.48144147705363546477,0.8814025685105046,1.000000732744276
32,32,.9,.2,1,1,.37490605826310276621,0.6801913076366277,0.6169466512012302
256,256,.9,.2,1,1,.37490605826310276621,0.6801913076366277,0.6200968418342448
32,32,.9,.4,1,1,.35992310174376965321,0.6696346018302595,0.730084781240665
256,256,.9,.4,1,1,.35992310174376965321,0.6696346018302595,0.7440965797999648
32,32,.9,.6,1,1,.35993271378415259001,0.7359553117472455,0.9040031795427181
256,256,.9,.6,1,1,.35993271378415259001,0.7359553117472455,0.9154969966845516
32,32,.9,.8,1,1,.39885713076418611038,1.0018669477695832,0.9999999998012958
256,256,.9,.8,1,1,.39885713076418611038,1.0018669477695832,0.9999999997669404
32,32,.1,.2,2,2,.68604667676400564357,0.6308839476687125,0.5846644803149604
256,256,.1,.2,2,2,.68604667676400564357,0.6308839476687125,0.586544444764652
32,32,.1,.4,2,2,.72115345799673599811,0.6642018500219775,0.6231309071602197
256,256,.1,.4,2,2,.72115345799673599811,0.6642018500219775,0.6241242981782037
32,32,.1,.6,2,2,.74921291721139373766,0.691321964542255,0.6542706923106956
256,256,.1,.6,2,2,.74921291721139373766,0.691321964542255,0.6553454106357245
32,32,.1,.8,2,2,.77214994271399610674,0.7137647254192531,0.6807351644214132
256,256,.1,.8,2,2,.77214994271399610674,0.7137647254192531,0.68157255556425
32,32,.3,.2,2,2,.36973646807405554991,0.36109441771066886,0.2860272750611111
256,256,.3,.2,2,2,.36973646807405554991,0.36109441771066886,0.2788811180452625
32,32,.3,.4,2,2,.41835146606398883001,0.40028729967621585,0.32601986556233353
256,256,.3,.4,2,2,.41835146606398883001,0.40028729967621585,0.3225994008010211
32,32,.3,.6,2,2,.46003864577930204423,0.4340657688679331,0.36138367501070007
256,256,.3,.6,2,2,.46003864577930204423,0.4340657688679331,0.36027794677978514
32,32,.3,.8,2,2,.49618604958985100997,0.46344435374583415,0.3934675038596137
256,256,.3,.8,2,2,.49618604958985100997,0.46344435374583415,0.392573923860834
32,32,.5,.2,2,2,.21078066095876692397,0.23635811873884888,0.1650179717462023
256,256,.5,.2,2,2,.21078066095876692397,0.23635811873884888,0.14022971835872414
32,32,.5,.4,2,2,.25794289417540649744,0.2724920044420391,0.1967026219972138
256,256,.5,.4,2,2,.25794289417540649744,0.2724920044420391,0.17503289024198007
32,32,.5,.6,2,2,.29945608263372428524,0.30504531607949215,0.22230101488376397
256,256,.5,.6,2,2,.29945608263372428524,0.30504531607949215,0.20803599635067502
32,32,.5,.8,2,2,.33646606028493864717,0.35724741783601255,0.43050158023462
256,256,.5,.8,2,2,.33646606028493864717,0.35724741783601255,0.44853403701110395
32,32,.7,.2,2,2,.12954976455292450814,0.16493696302742872,0.1299683729588539
256,256,.7,.2,2,2,.12954976455292450814,0.16493696302742872,0.13169904639053912
32,32,.7,.4,2,2,.15574208330355619838,0.19621712046319512,0.14539178968752067
256,256,.7,.4,2,2,.15574208330355619838,0.19621712046319512,0.13486764632173617
32,32,.7,.6,2,2,.19601125520616679842,0.22531252263873885,0.27250345564344797
256,256,.7,.6,2,2,.19601125520616679842,0.22531252263873885,0.27610930526779587
32,32,.7,.8,2,2,.23178589582758620376,0.4722211830822103,0.6520347274363127
256,256,.7,.8,2,2,.23178589582758620376,0.4722211830822103,0.6498265151995786
32,32,.9,.2,2,2,.14074867123855937035,0.19205238316444181,0.1729756930337204
256,256,.9,.2,2,2,.14074867123855937035,0.19205238316444181,0.17243542070689455
32,32,.9,.4,2,2,.12960000000000043200,0.17634432687523002,0.2382548015192923
256,256,.9,.4,2,2,.12960000000000043200,0.17634432687523002,0.24470124711115204
32,32,.9,.6,2,2,.12960000000000103680,0.29654960348670467,0.4079647046628599
256,256,.9,.6,2,2,.12960000000000103680,0.29654960348670467,0.4208427876711365
32,32,.9,.8,2,2,.16131465507829833349,0.5492293485476657,0.8452108327056462
